load,strain
80.5,3.66
80.6,3.66
80.6,3.66
80.7,3.66
80.8,3.66
80.9,3.66
80.9,3.67
81,3.67
81.1,3.67
81.1,3.67
81.2,3.67
81.3,3.67
81.3,3.67
81.4,3.67
81.4,3.67
81.5,3.68
81.5,3.68
81.6,3.68
81.8,3.68
81.9,3.68
82,3.69
82,3.69
82,3.69
82.1,3.69
82.1,3.69
82.3,3.69
82.3,3.69
82.3,3.69
82.4,3.69
82.4,3.69
82.5,3.7
82.5,3.7
82.7,3.7
82.7,3.7
82.8,3.7
82.8,3.7
82.9,3.71
83,3.71
83.1,3.71
83.1,3.71
83.2,3.71
83.2,3.71
83.3,3.71
83.3,3.71
83.4,3.71
83.5,3.72
83.5,3.72
83.6,3.72
83.7,3.72
83.7,3.72
83.8,3.72
83.8,3.72
83.9,3.73
83.9,3.73
84,3.73
84.1,3.73
84.1,3.73
84.3,3.74
84.3,3.74
84.4,3.74
84.5,3.74
84.5,3.74
84.6,3.74
84.6,3.74
84.6,3.74
84.6,3.74
84.7,3.74
84.8,3.75
84.8,3.75
85,3.75
85,3.75
85,3.75
85.1,3.75
85.2,3.76
85.2,3.76
85.3,3.76
85.4,3.76
85.4,3.76
85.5,3.76
85.5,3.76
85.5,3.76
85.5,3.76
85.6,3.77
85.6,3.77
85.7,3.77
85.8,3.77
85.8,3.77
85.9,3.77
86,3.78
86,3.78
86.1,3.78
86.2,3.78
86.2,3.78
86.2,3.78
86.3,3.79
86.3,3.79
86.3,3.79
86.5,3.79
86.6,3.79
86.7,3.79
86.7,3.79
86.8,3.79
86.8,3.79
86.8,3.79
86.8,3.8
86.9,3.8
86.9,3.8
87,3.8
87,3.8
87.2,3.81
87.2,3.81
87.3,3.81
87.3,3.81
87.3,3.81
87.3,3.81
87.3,3.81
87.4,3.81
87.4,3.81
87.5,3.81
87.6,3.81
87.7,3.82
87.7,3.82
87.7,3.82
87.8,3.82
87.8,3.82
87.8,3.82
87.9,3.83
88,3.83
88,3.83
88.2,3.83
88.2,3.83
88.2,3.83
88.3,3.83
88.4,3.83
88.3,3.83
88.5,3.83
88.6,3.84
88.6,3.84
88.7,3.84
88.7,3.84
88.7,3.84
88.7,3.85
88.8,3.85
88.8,3.85
88.9,3.85
89.1,3.85
89.1,3.85
89.1,3.85
89.1,3.85
89.1,3.85
89.2,3.85
89.2,3.86
89.3,3.86
89.3,3.86
89.3,3.86
89.4,3.86
89.4,3.86
89.5,3.87
89.6,3.87
89.6,3.87
89.6,3.87
89.6,3.87
89.7,3.87
89.8,3.87
89.8,3.88
89.9,3.88
89.9,3.88
90,3.88
90,3.88
90,3.88
90.1,3.88
90.1,3.88
90.1,3.88
90.2,3.89
90.2,3.89
90.3,3.89
90.3,3.89
90.5,3.89
90.5,3.89
90.5,3.89
90.5,3.89
90.6,3.89
90.6,3.9
90.7,3.9
90.7,3.9
90.7,3.9
90.8,3.9
90.9,3.9
90.8,3.9
90.9,3.91
91,3.91
91,3.91
91.1,3.91
91.1,3.91
91.1,3.92
91.1,3.92
91.1,3.92
91.2,3.92
91.2,3.92
91.3,3.92
91.4,3.92
91.5,3.92
91.5,3.92
91.5,3.92
91.5,3.93
91.6,3.93
91.7,3.93
91.7,3.93
91.8,3.93
91.8,3.93
91.8,3.94
91.9,3.94
91.9,3.94
92,3.94
92.1,3.94
92.1,3.94
92.2,3.94
92.1,3.94
92.1,3.94
92.2,3.95
92.2,3.95
92.3,3.95
92.3,3.95
92.4,3.95
92.4,3.95
92.5,3.95
92.4,3.96
92.5,3.96
92.5,3.96
92.6,3.96
92.6,3.96
92.7,3.96
92.7,3.96
92.8,3.96
92.9,3.96
92.9,3.97
92.9,3.97
92.9,3.97
92.9,3.97
93,3.97
93,3.97
93.1,3.98
93,3.98
93.1,3.98
93.2,3.98
93.2,3.98
93.3,3.98
93.3,3.98
93.4,3.98
93.4,3.98
93.5,3.98
93.6,3.99
93.6,3.99
93.6,3.99
93.7,3.99
93.7,3.99
93.8,4
93.9,4
93.9,4
93.9,4
93.8,4
93.9,4
93.9,4
94,4.01
94.1,4.01
94.1,4.01
94.2,4.01
94.2,4.01
94.3,4.01
94.3,4.01
94.3,4.01
94.3,4.01
94.3,4.02
94.3,4.02
94.3,4.02
94.3,4.02
94.4,4.02
94.4,4.03
94.4,4.03
94.5,4.03
94.6,4.03
94.6,4.03
94.7,4.03
94.8,4.03
94.8,4.03
94.8,4.03
94.8,4.03
94.8,4.04
94.9,4.04
94.9,4.04
94.9,4.04
94.8,4.05
94.8,4.05
94.6,4.05
94.5,4.05
94.4,4.05
94.4,4.06
94.4,4.06
94.4,4.06
94.5,4.06
94.5,4.07
94.5,4.07
94.7,4.07
94.6,4.07
94.6,4.07
94.6,4.07
94.6,4.07
94.6,4.08
94.6,4.08
94.6,4.08
94.7,4.08
94.7,4.08
94.8,4.09
94.8,4.09
94.9,4.09
94.9,4.09
94.9,4.1
94.9,4.1
94.8,4.1
94.9,4.1
94.9,4.1
95,4.1
95.1,4.1
95.1,4.1
95.1,4.11
95.1,4.11
95.1,4.11
95.1,4.11
95.1,4.11
95.2,4.12
95.2,4.12
95.3,4.12
95.3,4.12
95.3,4.12
95.4,4.12
95.4,4.13
95.4,4.13
95.4,4.13
95.4,4.13
95.5,4.13
95.5,4.13
95.6,4.13
95.6,4.13
95.6,4.14
95.7,4.14
95.7,4.14
95.7,4.14
95.7,4.14
95.6,4.14
95.7,4.15
95.7,4.15
95.8,4.15
95.8,4.15
95.8,4.16
95.9,4.16
95.8,4.16
95.9,4.16
95.9,4.16
96,4.16
96,4.16
96.1,4.16
96.1,4.16
96.2,4.17
96.3,4.17
96.3,4.17
96.2,4.17
96.3,4.17
96.3,4.17
96.3,4.18
96.4,4.18
96.3,4.18
96.4,4.18
96.2,4.18
95.7,4.2
94.3,4.2
93.3,4.2
91.9,4.2
91.6,4.19
91.7,4.2
91.8,4.2
91.9,4.2
92,4.2
92,4.2
92.1,4.2
92.2,4.2
92.3,4.2
92.3,4.21
92.3,4.21
92.5,4.21
92.6,4.21
92.7,4.21
92.8,4.21
92.8,4.21
92.9,4.22
92.9,4.22
93,4.22
93.1,4.22
93.1,4.22
93.2,4.22
93.3,4.22
93.3,4.22
93.4,4.22
93.4,4.22
93.5,4.22
93.5,4.23
93.6,4.23
93.6,4.23
93.7,4.23
93.7,4.23
93.7,4.23
93.9,4.24
93.9,4.24
94,4.24
94,4.24
94.1,4.24
94.1,4.24
94.2,4.24
94.3,4.24
94.3,4.24
94.3,4.24
94.3,4.24
94.3,4.24
94.4,4.25
94.5,4.25
94.5,4.25
94.6,4.25
94.7,4.25
94.7,4.25
94.7,4.25
94.8,4.25
94.9,4.26
94.9,4.26
95,4.26
95,4.26
95.1,4.26
95.2,4.26
95.2,4.26
95.2,4.26
95.2,4.26
95.3,4.26
95.3,4.26
95.4,4.27
95.5,4.27
95.5,4.27
95.5,4.27
95.6,4.27
95.7,4.27
95.8,4.27
95.9,4.27
96,4.28
96,4.28
96,4.28
96,4.28
96,4.28
95.9,4.28
95.9,4.28
96,4.28
96.1,4.28
96.2,4.28
96.2,4.28
96.3,4.29
96.4,4.29
96.5,4.29
96.4,4.29
96.6,4.29
96.6,4.29
96.6,4.29
96.6,4.3
96.6,4.3
96.7,4.3
96.7,4.3
96.8,4.3
96.8,4.3
96.9,4.3
96.9,4.3
96.8,4.3
96.9,4.3
97.1,4.3
97.1,4.3
97.1,4.31
97.1,4.31
97.2,4.31
97.2,4.31
97.3,4.31
97.4,4.31
97.3,4.31
97.4,4.31
97.4,4.32
97.4,4.32
97.5,4.32
97.5,4.32
97.5,4.32
97.6,4.32
97.6,4.32
97.7,4.32
97.7,4.32
97.8,4.32
97.8,4.32
97.9,4.32
98,4.32
98,4.33
98,4.33
98,4.33
98,4.33
98,4.33
98.1,4.33
98.2,4.33
98.2,4.33
98.3,4.33
98.3,4.34
98.3,4.34
98.3,4.34
98.3,4.34
98.4,4.34
98.4,4.34
98.4,4.34
98.4,4.34
98.5,4.34
98.5,4.34
98.6,4.34
98.6,4.34
98.6,4.34
98.6,4.35
98.7,4.35
98.7,4.35
98.8,4.35
98.9,4.35
98.8,4.35
98.8,4.35
98.9,4.35
98.9,4.36
99,4.36
99.1,4.36
99.2,4.36
99.1,4.36
99.2,4.36
99.2,4.36
99.2,4.36
99.2,4.36
99.2,4.37
99.3,4.37
99.3,4.37
99.5,4.37
99.4,4.37
99.4,4.37
99.4,4.37
99.5,4.37
99.4,4.37
99.6,4.37
99.6,4.37
99.7,4.37
99.8,4.37
99.8,4.38
99.8,4.38
99.7,4.38
99.8,4.38
99.7,4.38
99.8,4.38
99.8,4.38
99.9,4.38
100,4.38
100,4.38
100.1,4.39
100.1,4.39
100.1,4.39
100.1,4.39
100,4.39
100.2,4.39
100.2,4.39
100.3,4.39
100.3,4.39
100.3,4.39
100.3,4.39
100.3,4.39
100.4,4.39
100.4,4.39
100.5,4.39
100.5,4.4
100.5,4.4
100.5,4.4
100.6,4.4
100.5,4.4
100.6,4.4
100.6,4.4
100.7,4.4
100.7,4.4
100.8,4.4
100.8,4.4
100.8,4.41
100.9,4.41
100.8,4.41
100.9,4.41
100.9,4.41
101,4.41
101,4.41
101,4.41
101,4.41
101,4.41
101.1,4.41
101.1,4.41
101.2,4.41
101.2,4.41
101.2,4.41
101.3,4.42
101.3,4.42
101.3,4.42
101.4,4.42
101.4,4.42
101.4,4.42
101.4,4.42
101.4,4.42
101.4,4.42
101.4,4.42
101.4,4.43
101.4,4.43
101.4,4.43
101.5,4.43
101.5,4.43
101.5,4.43
101.5,4.43
101.5,4.43
101.6,4.43
101.6,4.43
101.6,4.43
101.7,4.44
101.8,4.44
101.8,4.44
101.8,4.44
101.8,4.44
101.8,4.44
101.7,4.44
101.8,4.44
101.8,4.44
101.8,4.44
101.9,4.44
101.9,4.44
102,4.44
102,4.44
102.1,4.44
102,4.44
102,4.44
101.9,4.45
102,4.45
102,4.45
102.1,4.45
102.1,4.45
102.1,4.45
102.1,4.45
102.1,4.45
102.1,4.45
102.1,4.46
102.2,4.46
102.2,4.46
102.3,4.46
102.2,4.46
102.2,4.46
102.2,4.46
102.1,4.46
102.2,4.46
102.2,4.46
102.2,4.46
102.2,4.46
102.2,4.46
102.2,4.46
102.1,4.47
102.2,4.47
102.2,4.47
102.3,4.47
102.3,4.47
102.3,4.47
102.2,4.47
102.2,4.47
102.3,4.47
102.2,4.48
102.3,4.48
102.3,4.48
102.3,4.48
102.3,4.48
102.3,4.48
102.4,4.48
102.4,4.48
102.3,4.48
102.4,4.48
102.3,4.48
102.4,4.48
102.4,4.49
102.4,4.49
102.4,4.49
102.5,4.49
102.5,4.49
102.5,4.49
102.5,4.49
102.5,4.49
102.5,4.49
102.5,4.49
102.5,4.49
102.5,4.49
102.6,4.49
102.6,4.49
102.7,4.49
102.7,4.49
102.6,4.49
102.6,4.5
102.6,4.5
102.6,4.5
102.7,4.5
102.7,4.5
102.8,4.5
102.8,4.5
102.8,4.5
102.8,4.5
102.8,4.5
102.8,4.5
102.7,4.5
102.9,4.51
102.8,4.51
102.8,4.51
102.9,4.51
102.9,4.51
102.9,4.51
102.9,4.51
102.9,4.51
103,4.51
102.9,4.51
102.9,4.51
102.9,4.51
102.9,4.51
102.9,4.52
102.8,4.52
102.8,4.52
102.6,4.52
102.6,4.52
102.7,4.52
102.7,4.52
102.8,4.52
102.8,4.52
102.9,4.52
102.8,4.52
102.8,4.53
102.7,4.53
102.6,4.53
102.6,4.53
102.6,4.53
102.7,4.53
102.7,4.53
102.6,4.53
102.6,4.53
102.6,4.53
102.6,4.53
102.6,4.53
102.6,4.53
102.6,4.53
102.6,4.53
102.7,4.53
102.7,4.53
102.7,4.53
102.7,4.53
102.7,4.53
102.7,4.54
102.7,4.54
102.7,4.54
102.7,4.54
102.7,4.54
102.8,4.54
102.8,4.54
102.8,4.54
102.8,4.54
102.7,4.54
102.8,4.54
102.8,4.54
102.8,4.54
102.8,4.54
102.7,4.54
102.7,4.54
102.7,4.55
102.8,4.55
102.7,4.55
102.7,4.55
102.7,4.55
102.7,4.55
102.7,4.55
102.7,4.55
102.6,4.55
102.8,4.55
102.7,4.55
102.8,4.55
102.7,4.55
102.8,4.55
102.7,4.55
102.8,4.55
102.9,4.55
102.8,4.55
102.8,4.55
102.9,4.55
102.8,4.55
103,4.56
102.9,4.56
102.9,4.56
102.9,4.56
102.8,4.56
102.9,4.56
102.8,4.56
102.8,4.56
102.7,4.56
102.7,4.56
102.8,4.56
102.8,4.56
102.8,4.56
102.9,4.56
102.8,4.57
102.8,4.57
102.8,4.57
102.7,4.57
102.8,4.57
102.7,4.57
102.8,4.57
102.8,4.57
102.8,4.57
102.8,4.57
102.8,4.57
102.8,4.57
102.7,4.57
102.9,4.57
102.8,4.57
102.8,4.57
102.8,4.57
102.7,4.57
102.8,4.57
102.7,4.57
102.8,4.57
102.8,4.57
102.7,4.58
102.7,4.58
102.7,4.58
102.7,4.58
102.8,4.58
102.7,4.58
102.7,4.58
102.6,4.58
102.6,4.58
102.5,4.58
102.5,4.58
102.5,4.59
102.5,4.59
102.5,4.59
102.5,4.59
102.5,4.59
102.4,4.59
102.3,4.59
102.3,4.59
102.3,4.59
102.2,4.59
102.2,4.59
102.1,4.59
102,4.59
102,4.59
101.9,4.6
101.9,4.6
101.7,4.6
101.7,4.6
101.5,4.6
101.4,4.6
101.2,4.6
101,4.61
101,4.61
100.8,4.61
100.7,4.61
100.6,4.61
100.5,4.61
100.4,4.61
100.3,4.61
100.3,4.62
100.2,4.62
100.1,4.62
100.1,4.62
100,4.62
99.9,4.62
99.9,4.62
99.6,4.62
99.4,4.62
99.3,4.62
99.1,4.62
99,4.62
98.9,4.62
98.8,4.62
98.5,4.63
98.5,4.63
98.3,4.63
