strain,load
7.656,38.2
7.66,38.3
7.66,38.5
7.664,38.8
7.664,38.8
7.668,38.9
7.672,39.1
7.672,39.1
7.676,39.3
7.68,39.6
7.68,39.7
7.684,39.9
7.684,40.1
7.688,40.2
7.693,40.4
7.693,40.5
7.697,40.6
7.697,40.7
7.701,41
7.701,41
7.705,41.2
7.709,41.4
7.713,41.5
7.713,41.6
7.717,41.7
7.721,41.8
7.721,41.9
7.725,42.1
7.725,42.2
7.729,42.3
7.733,42.6
7.733,42.7
7.738,42.8
7.742,43
7.742,43.1
7.746,43.2
7.746,43.4
7.75,43.5
7.754,43.6
7.754,43.7
7.758,43.9
7.762,44.1
7.762,44.1
7.766,44.3
7.77,44.5
7.77,44.6
7.774,44.7
7.774,44.9
7.779,45
7.783,45.1
7.783,45.3
7.787,45.3
7.791,45.4
7.791,45.5
7.795,45.7
7.795,45.8
7.799,45.9
7.803,46.2
7.803,46.2
7.807,46.4
7.811,46.5
7.811,46.7
7.815,46.8
7.819,47
7.819,47
7.824,47.3
7.828,47.4
7.828,47.4
7.832,47.5
7.832,47.6
7.836,47.7
7.84,47.8
7.84,48
7.844,48.1
7.844,48.3
7.848,48.4
7.852,48.5
7.852,48.7
7.856,48.8
7.856,49
7.86,49
7.864,49.2
7.864,49.3
7.869,49.3
7.873,49.6
7.873,49.7
7.877,49.7
7.877,49.9
7.881,49.9
7.885,50
7.885,50.1
7.889,50.3
7.889,50.5
7.893,50.6
7.897,50.7
7.897,50.9
7.901,50.9
7.901,51
7.905,51.3
7.909,51.3
7.909,51.4
7.914,51.5
7.918,51.6
7.918,51.7
7.922,51.9
7.922,51.9
7.926,52.1
7.93,52.2
7.934,52.3
7.938,52.4
7.938,52.4
7.942,52.6
7.946,52.6
7.946,52.7
7.95,52.8
7.954,52.9
7.954,53
7.959,53.1
7.963,53.2
7.963,53.4
7.967,53.5
7.967,53.6
7.971,53.7
7.975,53.8
7.975,53.9
7.979,54
7.983,54.2
7.987,54.4
7.987,54.4
7.991,54.7
7.991,54.8
7.995,54.8
7.999,54.9
7.999,55
8.004,55
8.008,55.1
8.008,55.3
8.012,55.3
8.016,55.5
8.016,55.6
8.02,55.7
8.02,55.8
8.024,55.9
8.028,56.1
8.028,56.2
8.032,56.3
8.036,56.4
8.036,56.5
8.04,56.6
8.04,56.6
8.044,56.7
8.049,56.8
8.049,56.9
8.053,57
8.057,57.1
8.057,57.3
8.061,57.4
8.061,57.5
8.065,57.5
8.069,57.6
8.069,57.8
8.073,57.9
8.077,58.1
8.077,58.1
8.081,58.1
8.081,58.3
8.085,58.3
8.089,58.4
8.089,58.5
8.094,58.6
8.098,58.8
8.098,59
8.102,59
8.102,59.1
8.106,59.2
8.11,59.3
8.11,59.4
8.114,59.5
8.118,59.7
8.118,59.7
8.122,59.9
8.122,60
8.126,60.1
8.13,60.1
8.13,60.2
8.134,60.3
8.134,60.4
8.139,60.5
8.143,60.6
8.143,60.7
8.147,60.8
8.151,60.8
8.155,61
8.155,61
8.159,61.1
8.163,61.2
8.163,61.3
8.167,61.4
8.167,61.5
8.171,61.6
8.175,61.7
8.175,61.7
8.18,61.9
8.184,61.9
8.184,62
8.188,62.1
8.188,62.2
8.192,62.2
8.196,62.3
8.196,62.5
8.2,62.5
8.2,62.7
8.204,62.9
8.208,62.9
8.208,63
8.212,63.1
8.216,63.2
8.216,63.3
8.216,63.4
8.22,63.4
8.225,63.4
8.225,63.6
8.229,63.7
8.229,63.7
8.233,63.9
8.237,64
8.237,64.1
8.241,64.2
8.241,64.3
8.245,64.3
8.249,64.4
8.249,64.5
8.253,64.6
8.253,64.7
8.257,64.8
8.257,64.9
8.261,64.9
8.265,65.1
8.265,65.2
8.27,65.2
8.274,65.3
8.274,65.5
8.278,65.4
8.278,65.5
8.282,65.7
8.282,65.7
8.286,65.9
8.29,65.9
8.294,66.1
8.294,66
8.298,66.1
8.302,66.2
8.306,66.2
8.31,66.2
8.315,66.2
8.319,66.2
8.323,66.3
8.327,66.3
8.331,66.3
8.335,66.3
8.335,66.4
8.339,66.5
8.343,66.5
8.343,66.7
8.347,66.8
8.351,66.9
8.351,66.9
8.355,67
8.36,67.1
8.364,67.1
8.364,67.2
8.368,67.2
8.372,67.2
8.372,67.3
8.376,67.4
8.38,67.5
8.38,67.6
8.388,67.7
8.392,67.7
8.392,67.7
8.4,67.7
8.4,67.7
8.405,67.9
8.409,67.9
8.409,67.9
8.413,68.1
8.417,68.1
8.417,68.1
8.421,68.2
8.425,68.3
8.429,68.3
8.429,68.5
8.433,68.5
8.433,68.6
8.437,68.7
8.441,68.8
8.441,68.8
8.445,68.9
8.45,69
8.45,69
8.454,69.1
8.454,69.2
8.458,69.3
8.462,69.3
8.462,69.4
8.466,69.6
8.47,69.6
8.47,69.7
8.474,69.8
8.478,69.8
8.482,69.9
8.482,69.9
8.486,70
8.49,70
8.495,70
8.499,70.1
8.503,70.1
8.503,70.2
8.507,70.2
8.511,70.3
8.515,70.4
8.519,70.5
8.519,70.5
8.523,70.6
8.523,70.7
8.527,70.7
8.531,70.7
8.535,70.7
8.54,70.8
8.54,70.8
8.544,70.9
8.548,71
8.548,71
8.552,71
8.556,71
8.56,71.1
8.564,71.2
8.564,71.2
8.568,71.3
8.572,71.4
8.572,71.3
8.576,71.4
8.58,71.4
8.585,71.5
8.585,71.6
8.589,71.6
8.593,71.7
8.593,71.7
8.597,71.7
8.601,71.8
8.605,71.8
8.605,71.9
8.609,72
8.613,72.1
8.617,72.1
8.617,72.2
8.621,72.2
8.626,72.2
8.626,72.2
8.63,72.2
8.634,72.2
8.634,72.2
8.638,72.3
8.642,72.4
8.646,72.5
8.65,72.5
8.654,72.6
8.662,72.5
8.666,72.5
8.666,72.5
8.671,72.5
8.675,72.5
8.679,72.5
8.683,72.6
8.683,72.6
8.687,72.7
8.691,72.7
8.691,72.7
8.695,72.8
8.699,72.9
8.699,72.9
8.703,73
8.707,73.1
8.707,73.1
8.711,73.2
8.711,73.3
8.716,73.4
8.72,73.4
8.72,73.4
8.724,73.4
8.724,73.5
8.728,73.6
8.732,73.6
8.732,73.8
8.736,73.9
8.74,73.9
8.74,73.9
8.744,73.9
8.744,74
8.748,74
8.748,74.2
8.752,74.2
8.752,74.3
8.756,74.3
8.761,74.4
8.761,74.5
8.765,74.5
8.765,74.5
8.769,74.6
8.769,74.6
8.773,74.7
8.773,74.8
8.777,74.8
8.777,75
8.781,75
8.785,75
8.785,75.1
8.789,75.1
8.789,75.2
8.793,75.2
8.793,75.3
8.797,75.3
8.797,75.4
8.801,75.4
8.801,75.4
8.806,75.5
8.806,75.6
8.81,75.7
8.81,75.7
8.814,75.7
8.814,75.8
8.818,75.8
8.822,75.8
8.822,75.9
8.822,75.9
8.826,76
8.83,76
8.83,76
8.834,76
8.834,76
8.838,76.1
8.838,76.2
8.842,76.3
8.842,76.3
8.846,76.4
8.846,76.5
8.851,76.5
8.851,76.6
8.855,76.7
8.855,76.7
8.859,76.8
8.859,76.8
8.863,76.9
8.863,76.9
8.867,77
8.867,77.1
8.871,77.2
8.871,77.2
8.871,77.2
8.875,77.4
8.879,77.4
8.879,77.4
