load,strain
65.7,8.282
65.9,8.286
65.9,8.29
66.1,8.294
66,8.294
66.1,8.298
66.2,8.302
66.2,8.306
66.2,8.31
66.2,8.315
66.2,8.319
66.3,8.323
66.3,8.327
66.3,8.331
66.3,8.335
66.4,8.335
66.5,8.339
66.5,8.343
66.7,8.343
66.8,8.347
66.9,8.351
66.9,8.351
67,8.355
67.1,8.36
67.1,8.364
67.2,8.364
67.2,8.368
67.2,8.372
67.3,8.372
67.4,8.376
67.5,8.38
67.6,8.38
67.7,8.388
67.7,8.392
67.7,8.392
67.7,8.4
67.7,8.4
67.9,8.405
67.9,8.409
67.9,8.409
68.1,8.413
68.1,8.417
68.1,8.417
68.2,8.421
68.3,8.425
68.3,8.429
68.5,8.429
68.5,8.433
68.6,8.433
68.7,8.437
68.8,8.441
68.8,8.441
68.9,8.445
69,8.45
69,8.45
69.1,8.454
69.2,8.454
69.3,8.458
69.3,8.462
69.4,8.462
69.6,8.466
69.6,8.47
69.7,8.47
69.8,8.474
69.8,8.478
69.9,8.482
69.9,8.482
70,8.486
70,8.49
70,8.495
70.1,8.499
70.1,8.503
70.2,8.503
70.2,8.507
70.3,8.511
70.4,8.515
70.5,8.519
70.5,8.519
70.6,8.523
70.7,8.523
70.7,8.527
70.7,8.531
70.7,8.535
70.8,8.54
70.8,8.54
70.9,8.544
71,8.548
71,8.548
71,8.552
71,8.556
71.1,8.56
71.2,8.564
71.2,8.564
71.3,8.568
71.4,8.572
71.3,8.572
71.4,8.576
71.4,8.58
71.5,8.585
71.6,8.585
71.6,8.589
71.7,8.593
71.7,8.593
71.7,8.597
71.8,8.601
71.8,8.605
71.9,8.605
72,8.609
72.1,8.613
72.1,8.617
72.2,8.617
72.2,8.621
72.2,8.626
72.2,8.626
72.2,8.63
72.2,8.634
72.2,8.634
72.3,8.638
72.4,8.642
72.5,8.646
72.5,8.65
72.6,8.654
72.5,8.662
72.5,8.666
72.5,8.666
72.5,8.671
72.5,8.675
72.5,8.679
72.6,8.683
72.6,8.683
72.7,8.687
72.7,8.691
72.7,8.691
72.8,8.695
72.9,8.699
72.9,8.699
73,8.703
73.1,8.707
73.1,8.707
73.2,8.711
73.3,8.711
73.4,8.716
73.4,8.72
73.4,8.72
73.4,8.724
73.5,8.724
73.6,8.728
73.6,8.732
73.8,8.732
73.9,8.736
73.9,8.74
73.9,8.74
73.9,8.744
74,8.744
74,8.748
74.2,8.748
74.2,8.752
74.3,8.752
74.3,8.756
74.4,8.761
74.5,8.761
74.5,8.765
74.5,8.765
74.6,8.769
74.6,8.769
74.7,8.773
74.8,8.773
74.8,8.777
75,8.777
75,8.781
75,8.785
75.1,8.785
75.1,8.789
75.2,8.789
75.2,8.793
75.3,8.793
75.3,8.797
75.4,8.797
75.4,8.801
75.4,8.801
75.5,8.806
75.6,8.806
75.7,8.81
75.7,8.81
75.7,8.814
75.8,8.814
75.8,8.818
75.8,8.822
75.9,8.822
75.9,8.822
76,8.826
76,8.83
76,8.83
76,8.834
76,8.834
76.1,8.838
76.2,8.838
76.3,8.842
76.3,8.842
76.4,8.846
76.5,8.846
76.5,8.851
76.6,8.851
76.7,8.855
76.7,8.855
76.8,8.859
76.8,8.859
76.9,8.863
76.9,8.863
77,8.867
77.1,8.867
77.2,8.871
77.2,8.871
77.2,8.871
77.4,8.875
77.4,8.879
77.4,8.879
77.3,8.879
77.3,8.883
77.4,8.883
77.5,8.887
77.5,8.887
77.5,8.891
77.6,8.891
77.7,8.896
77.7,8.896
77.7,8.896
77.8,8.9
77.8,8.9
77.9,8.904
78,8.904
78,8.908
78.1,8.908
78.2,8.912
78.2,8.912
78.2,8.916
78.3,8.916
78.3,8.916
78.4,8.92
78.4,8.92
78.4,8.924
78.5,8.924
78.5,8.928
78.7,8.928
78.7,8.932
78.7,8.932
78.8,8.936
78.7,8.936
78.8,8.936
78.9,8.941
78.9,8.941
78.9,8.945
78.9,8.945
78.9,8.949
78.8,8.949
78.8,8.953
78.9,8.953
78.9,8.957
79,8.957
78.9,8.961
78.9,8.961
79,8.965
78.9,8.965
78.9,8.969
78.9,8.969
78.9,8.973
79,8.973
78.9,8.977
78.9,8.977
78.8,8.981
78.8,8.981
78.8,8.986
78.8,8.986
78.8,8.99
78.9,8.99
78.8,8.994
78.8,8.998
78.8,8.998
78.8,8.998
78.7,9.002
78.6,9.006
78.6,9.006
78.6,9.006
78.7,9.01
78.6,9.014
78.6,9.014
78.6,9.018
78.6,9.018
78.5,9.022
78.5,9.022
78.5,9.027
78.5,9.027
78.5,9.031
78.4,9.031
78.3,9.035
78.3,9.035
78.2,9.039
78.2,9.039
78.1,9.043
78.1,9.043
78,9.047
77.9,9.047
77.9,9.051
77.8,9.051
77.8,9.055
77.9,9.055
77.8,9.059
77.9,9.059
77.9,9.063
77.8,9.063
77.8,9.063
77.8,9.067
77.8,9.067
77.8,9.072
77.7,9.072
77.8,9.076
77.7,9.076
77.7,9.08
77.7,9.08
77.6,9.084
77.5,9.084
77.4,9.088
77.4,9.088
77.3,9.092
77.3,9.092
77.2,9.092
77.2,9.096
77.2,9.096
77.2,9.1
77.2,9.1
77.2,9.104
77.1,9.104
77.1,9.108
77.1,9.108
77,9.108
76.9,9.112
76.9,9.112
76.7,9.117
76.6,9.121
76.3,9.125
76.2,9.129
75.9,9.129
75.6,9.129
75.5,9.133
75.4,9.133
75.2,9.137
75.1,9.137
75,9.141
74.8,9.141
74.7,9.145
74.5,9.145
74.3,9.149
74.3,9.149
74.1,9.153
74.1,9.153
73.9,9.153
73.9,9.157
73.7,9.162
73.7,9.162
73.7,9.162
73.4,9.166
73.4,9.166
73.4,9.17
73.2,9.17
73.1,9.174
73.1,9.174
72.9,9.178
72.9,9.178
72.7,9.182
72.7,9.182
72.5,9.182
72.4,9.186
72.2,9.186
72.2,9.19
72.2,9.19
72,9.194
71.9,9.194
71.9,9.198
71.8,9.198
71.6,9.198
71.5,9.202
71.4,9.207
71.2,9.207
71.2,9.207
71.1,9.211
70.9,9.211
70.7,9.215
70.7,9.215
70.6,9.215
70.5,9.219
70.4,9.223
70.3,9.223
70.2,9.223
70,9.227
69.9,9.227
69.7,9.231
69.6,9.231
69.3,9.235
69.1,9.235
69,9.239
68.8,9.239
68.7,9.239
68.5,9.243
68.5,9.243
68.2,9.247
67.9,9.247
67.8,9.252
67.5,9.252
67.4,9.252
67.2,9.256
67.1,9.256
66.8,9.26
66.7,9.26
66.5,9.264
66.2,9.264
66.2,9.264
66,9.268
66,9.268
65.9,9.268
65.7,9.272
65.5,9.272
65.5,9.272
65.2,9.276
65,9.276
64.8,9.28
64.7,9.28
64.5,9.28
64.2,9.284
64.2,9.284
63.9,9.284
63.7,9.288
63.6,9.288
63.3,9.288
63.2,9.292
63,9.292
62.8,9.292
62.6,9.297
62.5,9.297
62.3,9.297
62,9.297
61.9,9.301
61.6,9.301
61.5,9.305
61.4,9.305
61.3,9.309
61.3,9.309
61.4,9.313
61.4,9.313
61.5,9.313
61.5,9.317
61.6,9.321
61.6,9.321
61.8,9.321
61.8,9.325
